id,key,value,type
26525160,created_by,YahooApplet 1.0,regular
26525375,location,nearmap,source
26525430,created_by,YahooApplet 1.0,regular
26620060,created_by,YahooApplet 1.0,regular
26620145,created_by,YahooApplet 1.0,regular
26620170,created_by,YahooApplet 1.0,regular
26620197,created_by,YahooApplet 1.0,regular
26620294,created_by,YahooApplet 1.0,regular
26620319,created_by,YahooApplet 1.0,regular
26620391,created_by,YahooApplet 1.0,regular
26627302,created_by,JOSM,regular
26705304,name,Thornleigh,regular
26705304,operator,CityRail,regular
26705304,public_transport,station,regular
26705304,railway,station,regular
26769477,created_by,JOSM,regular
26773950,created_by,JOSM,regular
26774050,created_by,JOSM,regular
26791490,created_by,JOSM,regular
26791515,created_by,JOSM,regular
26791565,created_by,JOSM,regular
26791592,created_by,JOSM,regular
26792391,created_by,JOSM,regular
26792441,created_by,JOSM,regular
26792466,created_by,JOSM,regular
26792491,created_by,JOSM,regular
26792947,created_by,JOSM,regular
26792974,created_by,JOSM,regular
26792999,created_by,JOSM,regular
26793024,created_by,JOSM,regular
26793079,created_by,JOSM,regular
26793278,created_by,JOSM,regular
26793317,created_by,JOSM,regular
26793883,created_by,JOSM,regular
26793915,created_by,JOSM,regular
26795867,created_by,JOSM,regular
26795916,created_by,JOSM,regular
26796218,created_by,JOSM,regular
26796379,created_by,JOSM,regular
26796442,created_by,JOSM,regular
26796565,created_by,JOSM,regular
26797549,highway,traffic_signals,regular
26802792,highway,turning_circle,regular
26803175,created_by,JOSM,regular
26803871,created_by,JOSM,regular
26804055,created_by,JOSM,regular
26804087,created_by,JOSM,regular
26804116,created_by,JOSM,regular
26804169,created_by,JOSM,regular
26804196,created_by,JOSM,regular
26804222,created_by,JOSM,regular
26804254,created_by,JOSM,regular
26804286,created_by,JOSM,regular
26804318,created_by,JOSM,regular
26804348,created_by,JOSM,regular
26804431,created_by,JOSM,regular
26806202,created_by,JOSM,regular
26806232,created_by,JOSM,regular
26806263,created_by,JOSM,regular
26806360,created_by,JOSM,regular
26806385,created_by,JOSM,regular
26806411,created_by,JOSM,regular
26806462,created_by,JOSM,regular
26806487,created_by,JOSM,regular
26806514,created_by,JOSM,regular
26806581,created_by,JOSM,regular
26806611,created_by,JOSM,regular
26806636,created_by,JOSM,regular
26806661,created_by,JOSM,regular
26806686,created_by,JOSM,regular
26806711,created_by,JOSM,regular
26806736,created_by,JOSM,regular
26806786,created_by,JOSM,regular
26806811,created_by,JOSM,regular
26956873,created_by,YahooApplet 1.0,regular
28195098,created_by,JOSM,regular
28195153,created_by,JOSM,regular
28195180,created_by,JOSM,regular
28372994,source,survey,regular
28534023,source,survey,regular
28535191,source,survey,regular
28782730,highway,turning_circle,regular
28802244,crossing,traffic_signals,regular
28802244,highway,traffic_signals,regular
28802244,source,survey,regular
28891623,source,survey,regular
28892306,created_by,JOSM,regular
29753210,created_by,JOSM,regular
29753788,created_by,JOSM,regular
29755129,highway,traffic_signals,regular
29797340,highway,traffic_signals,regular
29799770,noexit,yes,regular
29898393,highway,turning_circle,regular
29898393,source,nearmap,regular
31484106,highway,turning_circle,regular
31929167,barrier,gate,regular
31929167,created_by,JOSM,regular
31929535,created_by,JOSM,regular
31929821,created_by,JOSM,regular
31930167,created_by,JOSM,regular
31930355,created_by,JOSM,regular
32002821,highway,traffic_signals,regular
32246441,created_by,JOSM,regular
32561042,created_by,JOSM,regular
32561183,created_by,JOSM,regular
32561237,created_by,JOSM,regular
32561293,created_by,JOSM,regular
32561383,created_by,JOSM,regular
32561641,created_by,JOSM,regular
32847177,highway,turning_circle,regular
32891236,created_by,JOSM,regular
32928263,created_by,JOSM,regular
33013293,highway,traffic_signals,regular
33037413,crossing,traffic_signals,regular
33037413,highway,traffic_signals,regular
33109927,created_by,JOSM,regular
33110231,created_by,JOSM,regular
33116755,created_by,JOSM,regular
33121181,created_by,JOSM,regular
33165406,highway,traffic_signals,regular
33166434,created_by,JOSM,regular
33226078,highway,turning_circle,regular
33364238,name,Careening Cove,regular
33364238,natural,bay,regular
33364238,old_name,Weye Weye,regular
33364238,name,survey,source
33451871,created_by,JOSM,regular
33474601,highway,traffic_signals,regular
34142882,created_by,JOSM,regular
34176745,created_by,JOSM,regular
34177724,created_by,JOSM,regular
34212842,created_by,JOSM,regular
34351356,created_by,JOSM,regular
34351467,created_by,JOSM,regular
34351660,created_by,JOSM,regular
34351863,created_by,JOSM,regular
34351972,created_by,JOSM,regular
34352278,created_by,JOSM,regular
34488270,created_by,JOSM,regular
34488320,created_by,JOSM,regular
34496524,created_by,JOSM,regular
34510068,created_by,JOSM,regular
34510107,created_by,JOSM,regular
34512367,created_by,JOSM,regular
34512408,created_by,JOSM,regular
34631831,highway,traffic_signals,regular
34632371,created_by,JOSM,regular
35286544,created_by,JOSM,regular
36237868,created_by,JOSM,regular
36237928,created_by,JOSM,regular
36238538,created_by,JOSM,regular
36240584,created_by,JOSM,regular
36399183,highway,traffic_signals,regular
36608121,created_by,JOSM,regular
36711140,created_by,JOSM,regular
36711165,created_by,JOSM,regular
36717714,highway,turning_circle,regular
38688925,created_by,JOSM,regular
38720524,created_by,JOSM,regular
38855522,highway,traffic_signals,regular
38856101,amenity,parking,regular
38856101,created_by,JOSM,regular
39550859,created_by,JOSM,regular
39567464,created_by,JOSM,regular
39590691,created_by,JOSM,regular
39609496,created_by,JOSM,regular
39656593,created_by,JOSM,regular
40516835,created_by,JOSM,regular
41848673,highway,traffic_signals,regular
42987864,highway,traffic_signals,regular
44282557,created_by,JOSM,regular
46525279,source,GPS survey,regular
47355871,created_by,JOSM,regular
47407161,highway,turning_circle,regular
47504489,created_by,JOSM,regular
47839847,created_by,JOSM,regular
48727290,created_by,JOSM,regular
48931515,created_by,JOSM,regular
49622590,highway,turning_circle,regular
50498859,created_by,JOSM,regular
52485195,created_by,JOSM,regular
54893883,created_by,JOSM,regular
56131137,created_by,JOSM,regular
57101400,created_by,JOSM,regular
60034232,highway,traffic_signals,regular
60087504,highway,traffic_signals,regular
60087504,source,GPS survey,regular
60171101,highway,turning_circle,regular
60174537,source,yahoo_imagery,regular
60177867,created_by,JOSM,regular
60284416,highway,traffic_signals,regular
60287363,highway,traffic_signals,regular
60563021,created_by,JOSM,regular
60983121,highway,traffic_signals,regular
62381707,amenity,parking,regular
62381707,created_by,Potlatch 0.4a,regular
62381707,name,Botany Street Carpark,regular
63073179,created_by,JOSM,regular
66486125,created_by,JOSM,regular
66492778,created_by,JOSM,regular
66513837,created_by,JOSM,regular
66514265,created_by,JOSM,regular
68228397,source,GPS survey,regular
68522020,created_by,JOSM,regular
69787808,highway,turning_circle,regular
72335193,created_by,JOSM,regular
72441265,highway,crossing,regular
75148430,created_by,JOSM,regular
75167504,created_by,JOSM,regular
75169289,created_by,JOSM,regular
79702087,created_by,JOSM,regular
81018529,created_by,JOSM,regular
81187390,created_by,JOSM,regular
81330490,is_in,"Sydney, NSW, Australia",regular
81330490,country,Australia,is_in
81330490,country_code,AU,is_in
81330490,state,New South Wales,is_in
81330490,state_code,NSW,is_in
81330490,name,Campbelltown,regular
81330490,place,town,regular
82030546,created_by,JOSM,regular
82447283,created_by,JOSM,regular
82552020,created_by,JOSM,regular
82552020,name,Long Bay,regular
82552020,natural,bay,regular
82552020,source,historical,regular
83018285,created_by,JOSM,regular
83352612,created_by,JOSM,regular
83989411,created_by,JOSM,regular
84318386,created_by,JOSM,regular
84426998,crossing,traffic_signals,regular
84426998,highway,crossing,regular
88852085,created_by,JOSM,regular
